loc_num,population,county_city,loc_type,ramp_int
0,9.0,1900,,
1,9.0,1500,,
2,6.0,1502,highway,
3,6.0,1502,,
4,9.0,1500,highway,
5,9.0,1500,intersection,5.0
6,7.0,3711,highway,
7,7.0,3711,ramp,1.0
8,7.0,3711,ramp,2.0
9,4.0,3318,,
10,4.0,3318,intersection,5.0
11,7.0,1942,highway,
12,7.0,1942,ramp,2.0
13,6.0,1953,highway,
14,5.0,1902,highway,
15,6.0,1925,highway,
16,9.0,1000,ramp,2.0
17,9.0,1000,highway,
18,9.0,1000,,
19,7.0,1005,ramp,2.0
20,7.0,1005,highway,
21,5.0,3701,,
22,5.0,3701,ramp,4.0
23,7.0,3019,highway,
24,6.0,3026,highway,
25,7.0,3001,highway,
26,9.0,5400,,
27,4.0,5405,,
28,1.0,1515,,
29,9.0,900,,
30,7.0,1942,,
31,7.0,3711,,
32,7.0,3711,ramp,4.0
33,7.0,4313,highway,
34,7.0,4313,ramp,3.0
35,5.0,4303,highway,
36,6.0,4314,,
37,7.0,3313,,
38,3.0,1510,,
39,6.0,704,,
40,5.0,107,,
41,7.0,1941,,
42,6.0,1925,ramp,1.0
43,9.0,4100,,
44,7.0,3801,highway,
45,5.0,3024,highway,
46,5.0,4117,highway,
47,9.0,4500,,
48,1.0,2709,,
49,7.0,3801,ramp,2.0
50,9.0,1100,,
51,9.0,1100,highway,
52,5.0,4502,highway,
53,7.0,4313,,
54,9.0,2000,highway,
55,9.0,2000,,
56,7.0,109,,
57,5.0,4116,highway,
58,9.0,4100,highway,
59,6.0,1972,,
60,4.0,4109,highway,
61,5.0,4113,highway,
62,7.0,3404,,
63,6.0,3009,highway,
64,5.0,3007,highway,
65,6.0,3008,highway,
66,6.0,3010,highway,
67,7.0,3001,ramp,1.0
68,5.0,3003,highway,
69,5.0,3024,ramp,2.0
70,7.0,1941,highway,
71,6.0,1972,highway,
72,7.0,1941,ramp,1.0
73,7.0,1942,ramp,1.0
74,7.0,4313,ramp,2.0
75,7.0,4313,ramp,1.0
76,9.0,4300,highway,
77,6.0,4316,highway,
78,9.0,3400,highway,
79,7.0,3404,highway,
80,9.0,3400,,
81,9.0,1900,highway,
82,5.0,3017,highway,
83,9.0,3000,ramp,4.0
84,4.0,3029,highway,
85,9.0,3000,highway,
86,4.0,3018,highway,
87,3.0,5202,intersection,6.0
88,3.0,5202,,
89,6.0,5607,highway,
90,9.0,5600,,
91,9.0,5600,highway,
92,6.0,5608,highway,
93,9.0,4800,highway,
94,5.0,4806,highway,
95,5.0,3050,highway,
