pcf_num,pcf_violation_code,pcf_violation_category,subsection,pcf_type
0,22107.0,improper turning,,vehicle code violation
1,22515.0,hazardous parking,A,vehicle code violation
2,23114.0,other hazardous violation,A,vehicle code violation
3,22450.0,traffic signals and signs,A,vehicle code violation
4,22350.0,speeding,,vehicle code violation
5,22106.0,unsafe starting or backing,,vehicle code violation
6,21658.0,unsafe lane change,A,vehicle code violation
7,21801.0,automobile right of way,A,vehicle code violation
8,21451.0,other hazardous violation,A,vehicle code violation
9,21202.0,wrong side of road,A,vehicle code violation
10,21453.0,traffic signals and signs,A,vehicle code violation
11,23152.0,dui,A,vehicle code violation
12,21453.0,automobile right of way,C,vehicle code violation
13,,other than driver (or pedestrian),,other than driver
14,,fell asleep,,fell asleep
15,21750.0,improper passing,,vehicle code violation
16,21950.0,pedestrian right of way,A,vehicle code violation
17,21802.0,automobile right of way,A,vehicle code violation
18,21662.0,other hazardous violation,A,vehicle code violation
19,,unknown,,unknown
20,21703.0,following too closely,,vehicle code violation
21,,,,
22,21804.0,automobile right of way,A,vehicle code violation
23,21755.0,improper passing,,vehicle code violation
24,22100.0,improper turning,A,vehicle code violation
25,22450.0,traffic signals and signs,,vehicle code violation
26,,,,vehicle code violation
27,21800.0,automobile right of way,C,vehicle code violation
28,21650.0,wrong side of road,,vehicle code violation
29,22103.0,improper turning,,vehicle code violation
30,21460.0,wrong side of road,A,vehicle code violation
31,,other improper driving,,other improper driving
32,22102.0,improper turning,,vehicle code violation
33,21650.0,wrong side of road,1,vehicle code violation
34,23103.0,unknown,A,vehicle code violation
35,21954.0,pedestrian violation,A,vehicle code violation
36,24002.0,other equipment,A,vehicle code violation
37,12500.0,unknown,A,vehicle code violation
38,22100.0,improper turning,B,vehicle code violation
39,23153.0,dui,A,vehicle code violation
40,22517.0,other hazardous violation,,vehicle code violation
41,21952.0,pedestrian right of way,,vehicle code violation
42,22101.0,improper turning,D,vehicle code violation
43,21460.0,wrong side of road,B,vehicle code violation
44,20001.0,unknown,A,vehicle code violation
45,20002.0,unknown,A,vehicle code violation
46,21800.0,automobile right of way,B,vehicle code violation
47,21801.0,automobile right of way,B,vehicle code violation
48,35250.0,other hazardous violation,,vehicle code violation
49,22105.0,improper turning,,vehicle code violation
50,21950.0,pedestrian violation,B,vehicle code violation
51,21651.0,wrong side of road,A,vehicle code violation
52,23153.0,dui,,vehicle code violation
53,22100.0,improper turning,,vehicle code violation
54,21200.0,dui,5,vehicle code violation
55,21209.0,other hazardous violation,,vehicle code violation
56,22400.0,impeding traffic,A,vehicle code violation
57,21752.0,wrong side of road,C,vehicle code violation
58,21801.0,automobile right of way,,vehicle code violation
59,23152.0,dui,,vehicle code violation
60,21800.0,automobile right of way,A,vehicle code violation
61,21453.0,automobile right of way,B,vehicle code violation
