ve_num,ve_type,ve_make,ve_year
0,passenger car,FORD,2000.0
1,passenger car,BUICK,1992.0
2,pickup or panel truck,TOYOTA,
3,passenger car,FORD,1995.0
4,pickup or panel truck,,
5,passenger car,HONDA,
6,passenger car,TOYOTA,2001.0
7,truck or truck tractor with trailer,FREIGHTLINER,2001.0
8,passenger car,CHEVROLET,1997.0
9,pickup or panel truck,FORD,2001.0
10,passenger car,CHEVROLET,1991.0
11,passenger car,DODGE,1996.0
12,pickup or panel truck,DODGE,1997.0
13,pickup or panel truck,CHEVROLET,1994.0
14,pickup or panel truck,FORD,1985.0
15,pickup or panel truck,NISSAN,1985.0
16,passenger car,CHRYSLER,1991.0
17,pickup or panel truck,MITSUBISHI,1988.0
18,passenger car,HONDA,1991.0
19,pickup or panel truck,DODGE,1999.0
20,,,
21,passenger car,,2000.0
22,pickup or panel truck,FORD,2002.0
23,passenger car,TOYOTA,1981.0
24,pickup or panel truck,FORD,1983.0
25,passenger car,FORD,1987.0
26,passenger car,MERCURY,1994.0
27,passenger car,NISSAN,1994.0
28,pickup or panel truck,GMC,1992.0
29,passenger car,HONDA,1989.0
30,pickup or panel truck,FORD,1999.0
31,passenger car,DODGE,2000.0
32,passenger car,CHEVROLET,1998.0
33,passenger car,TOYOTA,1991.0
34,pickup or panel truck,CHEVROLET,2002.0
35,passenger car,MITSUBISHI,1998.0
36,passenger car,CHEVROLET,1990.0
37,pickup or panel truck,TOYOTA,2002.0
38,pickup or panel truck,FORD,1989.0
39,truck or truck tractor with trailer,PETERBILT,2000.0
40,passenger car,NISSAN,1999.0
41,schoolbus,OTHER - SCHOOL BUS,2001.0
42,passenger car,CHEVROLET,1985.0
43,passenger car,NISSAN,1986.0
44,pickup or panel truck,CHEVROLET,1989.0
45,passenger car,FORD,1997.0
46,passenger car with trailer,FORD,2001.0
47,passenger car,VOLKSWAGEN,1996.0
48,passenger car,DODGE,2001.0
49,passenger car,NISSAN,1992.0
50,passenger car,LINCOLN,1994.0
51,truck or truck tractor with trailer,KENWORTH,1999.0
